case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case127_comm_C2_RING_SIMPLE_CH8_N512_q8_rep2,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,8,2,80,529.7,4151.2,517.4,-2372.1,0.0
case128_comm_C2_RING_SIMPLE_CH8_N512_q8_rep3,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,8,3,80,529.5,4149.8,517.3,-2390.3,0.0
case129_comm_C2_RING_SIMPLE_CH8_N512_q8_rep4,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,8,4,80,530.7,4152.5,517.3,-2350.8,0.0
case130_comm_C2_RING_SIMPLE_CH8_N512_q8_rep5,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,8,5,80,529.3,4153.7,517.6,-2596.3,0.0
case131_gemm_C0_DEFAULT_N512_q8_rep1,GEMM_ONLY,RCCL,C0_DEFAULT,512,8,1,80,0.0,0.0,0.0,834.3,219.2
case132_gemm_C0_DEFAULT_N512_q8_rep2,GEMM_ONLY,RCCL,C0_DEFAULT,512,8,2,80,0.0,0.0,0.0,923.6,219.7
case133_gemm_C0_DEFAULT_N512_q8_rep3,GEMM_ONLY,RCCL,C0_DEFAULT,512,8,3,80,0.0,0.0,0.0,919.3,219.1
case134_gemm_C0_DEFAULT_N512_q8_rep4,GEMM_ONLY,RCCL,C0_DEFAULT,512,8,4,80,0.0,0.0,0.0,919.3,219.0
case135_gemm_C0_DEFAULT_N512_q8_rep5,GEMM_ONLY,RCCL,C0_DEFAULT,512,8,5,80,0.0,0.0,0.0,918.5,219.0
case136_r0_C0_DEFAULT_N512_q8_rep1,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,8,1,80,4049.7,4049.7,,16.3,1026.8
case137_r0_C0_DEFAULT_N512_q8_rep2,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,8,2,80,4053.1,4053.1,,16.2,1027.2
case138_r0_C0_DEFAULT_N512_q8_rep3,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,8,3,80,4059.1,4059.1,,16.3,1026.6
case139_r0_C0_DEFAULT_N512_q8_rep4,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,8,4,80,4051.8,4051.8,,16.2,1026.2
case140_r0_C0_DEFAULT_N512_q8_rep5,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,8,5,80,4053.9,4053.9,,16.2,1026.2
case141_rs_C0_DEFAULT_N512_q8_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,8,1,80,563.2,5979.7,773.6,10.4,219.5
case142_rs_C0_DEFAULT_N512_q8_rep2,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,8,2,80,563.7,5974.6,772.8,10.2,219.7
case143_rs_C0_DEFAULT_N512_q8_rep3,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,8,3,80,569.0,5977.3,772.4,10.2,219.5
case144_rs_C0_DEFAULT_N512_q8_rep4,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,8,4,80,563.8,5974.9,773.4,10.2,220.0
case145_rs_C0_DEFAULT_N512_q8_rep5,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,8,5,80,569.6,5979.7,772.7,10.2,219.6
case146_r1_C0_DEFAULT_N512_q8_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,8,1,80,558.5,4450.9,555.8,10.6,449.1
case147_r1_C0_DEFAULT_N512_q8_rep2,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,8,2,80,558.1,4457.6,556.9,10.6,450.4
case148_r1_C0_DEFAULT_N512_q8_rep3,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,8,3,80,560.9,4457.4,557.1,10.7,450.1
case149_r1_C0_DEFAULT_N512_q8_rep4,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,8,4,80,557.5,4447.8,556.0,10.7,449.3
case150_r1_C0_DEFAULT_N512_q8_rep5,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,8,5,80,559.6,4459.7,557.2,10.7,451.2
