case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case045_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,5,1,7453.8,0.0,0.0,0.0
case046_d0_C0_DEFAULT_N512_q2_rep1,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,1,0,11549.0,11565.4,12595.2,1027.0
case047_d0_C0_DEFAULT_N512_q2_rep2,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,2,0,11519.9,11535.8,12563.9,1026.8
case048_d0_C0_DEFAULT_N512_q2_rep3,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,3,0,11519.8,11536.6,12566.7,1026.7
case049_d0_C0_DEFAULT_N512_q2_rep4,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,4,0,11520.5,11536.4,12564.1,1026.5
case050_d0_C0_DEFAULT_N512_q2_rep5,D0_FCOLLECT_SERIAL,C0_DEFAULT,512,2,5,0,11550.0,11566.3,12592.7,1026.3
case051_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,1,0,7470.4,7475.9,8047.8,585.9
case051_ds_C0_DEFAULT_N512_q2_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,1,1,8127.0,8132.7,8693.5,575.4
case052_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,2,0,7468.7,7474.1,8048.7,586.8
case052_ds_C0_DEFAULT_N512_q2_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,2,1,8127.5,8133.6,8695.2,575.8
case053_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,3,0,7466.5,7472.0,8039.6,578.6
case053_ds_C0_DEFAULT_N512_q2_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,3,1,8114.5,8120.1,8675.9,571.5
case054_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,4,0,7468.5,7474.0,8039.4,578.0
case054_ds_C0_DEFAULT_N512_q2_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,4,1,8117.7,8123.2,8681.7,572.0
case055_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,5,0,7469.3,7474.9,8046.1,580.7
case055_ds_C0_DEFAULT_N512_q2_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,2,5,1,8126.9,8132.8,8691.8,571.7
