case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case279_fc_C0_DEFAULT_N2048_q4_rep4,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,4,80,0,PASS,11560.934,11432.772,11739.207,11560.934,11432.772,11739.207,11550.933,11422.852,11728.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11566.454,11438.213,11744.808
case280_fc_C0_DEFAULT_N2048_q4_rep5,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,5,80,0,PASS,11570.343,11428.910,11726.323,11570.343,11428.910,11726.323,11559.779,11418.186,11716.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11575.865,11434.512,11731.766
case281_dc_C0_DEFAULT_N2048_q4_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,1,80,0,PASS,2664.185,2583.136,2695.633,7593.267,7399.428,7677.431,7603.110,7409.350,7687.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7604.390,7410.471,7690.554
case282_dc_C0_DEFAULT_N2048_q4_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,2,80,0,PASS,2672.815,2567.380,2700.493,7569.428,7323.109,7685.502,7579.508,7333.828,7696.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7578.308,7334.788,7697.181
case283_dc_C0_DEFAULT_N2048_q4_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,3,80,0,PASS,2671.055,2634.096,2697.454,7616.786,7443.115,7668.543,7626.626,7452.875,7678.463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7625.825,7453.995,7677.343
case284_dc_C0_DEFAULT_N2048_q4_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,4,80,0,PASS,2660.495,2576.339,2693.133,7557.908,7406.626,9671.140,7567.827,7416.385,9681.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7566.787,7415.265,9682.819
case285_dc_C0_DEFAULT_N2048_q4_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,5,80,0,PASS,2676.094,2614.258,2700.813,7580.948,7410.304,7672.382,7588.307,7420.383,7681.981,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7590.307,7416.863,7683.261
case286_d0_C0_DEFAULT_N2048_q4_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,1,80,0,PASS,11535.271,11340.962,11781.738,11535.271,11340.962,11781.738,11541.110,11346.881,11788.297,11551.189,11356.960,11798.856,14318.798,14126.728,14560.460,2769.287,2755.846,2791.847,14324.477,14132.166,14565.899
case287_d0_C0_DEFAULT_N2048_q4_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,2,80,0,PASS,11552.311,11387.840,11768.298,11552.311,11387.840,11768.298,11558.230,11394.080,11773.899,11568.149,11404.318,11784.298,14332.890,14172.486,14553.104,2768.645,2755.690,2782.563,14338.409,14177.926,14558.542
case288_d0_C0_DEFAULT_N2048_q4_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,3,80,0,PASS,11540.152,11361.602,11724.623,11540.152,11361.602,11724.623,11546.073,11368.160,11730.703,11556.233,11378.080,11740.783,14330.874,14141.284,14529.580,2766.967,2754.245,2784.004,14336.394,14146.884,14534.859
