case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,6,15724.8,15730.9,15963.0,251.4
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,7,17460.7,17466.3,17707.9,245.0
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,0,1071.8,1077.4,1335.0,260.0
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,1,2278.7,2284.3,2536.7,252.7
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,2,4369.1,4374.7,4622.7,251.6
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,3,9090.0,9096.5,9348.8,251.9
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,4,11932.0,11938.3,12182.0,250.8
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,5,13940.9,13948.1,14202.1,249.3
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,6,16008.9,16015.3,16264.8,250.4
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,5,7,17502.9,17508.4,17752.4,244.0
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,0,1070.3,1075.7,1339.0,260.1
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,1,2280.4,2286.0,2544.0,254.2
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,2,7714.9,7720.6,7966.9,252.5
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,3,9292.6,9298.3,9547.0,249.4
