path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
COMM_ONLY,C0_DEFAULT,2048,2048,2048,2,50,50,0,4013.029300,3968.016500,3960.156600,3980.944550,310.220322,7.730328,4007.538360,1984.672860,4002.050700,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,2048,2048,4,50,50,0,4087.101820,4041.133500,4035.030000,4059.460000,311.150495,7.612986,4081.604600,1017.779900,4076.107320,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,2048,2048,8,50,50,0,4261.729220,4212.883000,4207.358600,4229.147000,336.711854,7.900827,4256.219180,538.728180,4250.728220,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,512,2048,1,50,50,0,3919.647100,3911.140500,3900.232750,3957.908600,37.645859,0.960440,3914.143340,3908.620460,3908.620460,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,512,2048,2,50,50,0,3963.470740,3962.337500,3955.033550,3975.616450,6.118766,0.154379,3957.992520,1980.103600,3952.511220,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,512,2048,4,50,50,0,4037.012840,4035.053500,4030.640700,4049.981000,7.688253,0.190444,4031.502780,1012.529280,4025.995860,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,512,2048,8,50,50,0,4204.702360,4202.004000,4196.604000,4220.587000,10.376883,0.246792,4199.201800,532.616940,4193.691640,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,512,256,1024,1,10,10,0,574.071100,572.135000,566.111550,585.191000,6.944022,1.209610,568.631200,563.175600,563.175600,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,128,2048,1,50,50,0,3910.738600,3911.380500,3887.382000,3934.331450,14.866196,0.380138,3905.218760,3899.727860,3899.727860,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,128,2048,2,50,50,0,3957.921920,3957.777500,3948.938000,3966.345000,5.433529,0.137282,3952.414940,1975.159780,3946.946400,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
