case_id	phase	repetition	ranks	shape_id	m_local	n	k	q	path	candidate	status	started_utc	ended_utc	case_dir
phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8	phase2_comm	1	4	S03_CONFIRM	2048	2048	2048	8	comm	C2_RING_SIMPLE_CH8	0	2026-08-31T11:07:30Z	2026-08-31T11:07:43Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8
phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8	phase2_comm	2	4	S03_CONFIRM	2048	2048	2048	8	comm	C2_RING_SIMPLE_CH8	0	2026-08-31T11:07:43Z	2026-08-31T11:07:56Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8
phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8	phase2_comm	3	4	S03_CONFIRM	2048	2048	2048	8	comm	C2_RING_SIMPLE_CH8	0	2026-08-31T11:07:56Z	2026-08-31T11:08:09Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8
phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8	phase2_comm	4	4	S03_CONFIRM	2048	2048	2048	8	comm	C2_RING_SIMPLE_CH8	0	2026-08-31T11:08:09Z	2026-08-31T11:08:22Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8
phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8	phase2_comm	5	4	S03_CONFIRM	2048	2048	2048	8	comm	C2_RING_SIMPLE_CH8	0	2026-08-31T11:08:22Z	2026-08-31T11:08:35Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C2_RING_SIMPLE_CH8
phase2_h0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT	phase2_h0	1	4	S03_CONFIRM	2048	2048	2048	8	h0	C0_DEFAULT	0	2026-08-31T11:08:35Z	2026-08-31T11:08:47Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT
phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT	phase2_h0	2	4	S03_CONFIRM	2048	2048	2048	8	h0	C0_DEFAULT	0	2026-08-31T11:08:47Z	2026-08-31T11:09:00Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT
phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT	phase2_h0	3	4	S03_CONFIRM	2048	2048	2048	8	h0	C0_DEFAULT	0	2026-08-31T11:09:00Z	2026-08-31T11:09:12Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT
phase2_h0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT	phase2_h0	4	4	S03_CONFIRM	2048	2048	2048	8	h0	C0_DEFAULT	0	2026-08-31T11:09:13Z	2026-08-31T11:09:25Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT
phase2_h0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT	phase2_h0	5	4	S03_CONFIRM	2048	2048	2048	8	h0	C0_DEFAULT	0	2026-08-31T11:09:25Z	2026-08-31T11:09:38Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C0_DEFAULT
phase2_h0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4	phase2_h0	1	4	S03_CONFIRM	2048	2048	2048	8	h0	C1_RING_SIMPLE_CH4	0	2026-08-31T11:09:38Z	2026-08-31T11:09:50Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4
phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4	phase2_h0	2	4	S03_CONFIRM	2048	2048	2048	8	h0	C1_RING_SIMPLE_CH4	0	2026-08-31T11:09:50Z	2026-08-31T11:10:03Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4
phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4	phase2_h0	3	4	S03_CONFIRM	2048	2048	2048	8	h0	C1_RING_SIMPLE_CH4	0	2026-08-31T11:10:03Z	2026-08-31T11:10:15Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_h0_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_h0_C1_RING_SIMPLE_CH4
